text,sentiment,customer_intent,primary_aspect,aspect_flag
it deliver at all whom deliver god only know,1,1,4,fallback_support
correct delivery,2,2,4,fallback_support
get different product not what ordered,1,1,4,fallback_support
delivery delay with false premise closed update very poor service,0,0,0,delay
shipment not delivered fake update,0,0,4,fallback_support
rude behaviour,0,0,3,behaviour
saree damaged,0,0,2,damage_lost
partial delivery app shows full delivered,1,1,4,fallback_support
product does not fit cannot use,0,0,4,fallback_support
good service communication easy,2,2,4,fallback_support
excellent customer service,2,2,4,support
ok receive,1,1,4,fallback_support
professional conduct,1,1,4,fallback_support
we cant receive flicka silk touch only lipstick receive from box,1,1,4,fallback_support
important courier delayed without call,0,0,0,delay
delivery guy didnt deliver order,0,0,4,fallback_support
u deliver wrong courier,0,0,4,fallback_support
fake product exchanged fraud,0,0,7,refund
no call received from courier,1,1,3,behaviour
one of best delivery,2,2,4,fallback_support
delivery staff rude liar needs training,0,0,3,behaviour
scope for improvement in online KYC verification,1,1,4,fallback_support
delivery marked but receiver different,1,1,4,fallback_support
delivery staff need behaviour training,1,1,3,behaviour
very nice product,2,2,4,fallback_support
sunday dilivery honi chahiye,1,1,4,fallback_support
yes received service,1,1,4,fallback_support
quick service provider deliver on time,1,1,4,fallback_support
incorrect address reported intentionally,1,1,4,fallback_support
delivery guy refuse come up collect downstairs,1,1,4,fallback_support
ok thanks,1,2,4,fallback_support
bad delivery service,0,0,4,fallback_support
long term customer trust appreciated,1,1,4,fallback_support
outstanding service from blue dartgood behavior blue dart agent,2,2,3,behaviour
not at all satisfied,1,1,4,fallback_support
service appreciable,2,2,4,fallback_support
delivery status incorrect no call received,0,0,3,behaviour
extremely rude delivery behaviour,0,0,3,behaviour
delivery boy behaved very rudely and arrogantly,0,0,3,behaviour
pathetic delivery and customer care never recommend,0,0,4,support
self pickup,1,1,4,fallback_support
delivery boy never comes to floor always leaves at ground floor very disappointing,0,0,4,fallback_support
As of now very good experience,2,2,4,fallback_support
product not delivered,0,0,4,fallback_support
no delivered,1,1,4,fallback_support
village delivery slow dissatisfied,0,0,0,delay
On.pay.link,1,1,4,fallback_support
worst delivery service refund demanded,0,0,7,refund
option to choose delivery date required,1,1,4,fallback_support
good service ashwin david thank you,2,2,4,fallback_support
very nice delivery experience,2,2,4,fallback_support
did not receive delivery,0,0,2,damage_lost
delivery delay with no communication,0,0,0,delay
late delivery again,1,0,0,delay
franchise person never delivers at home,0,0,4,fallback_support
order never delivered always marked premise locked,0,0,4,fallback_support
delivery executive very rude behaviour,0,0,3,behaviour
deliver on time without forcing office pickup,1,1,4,fallback_support
delivery status falsely marked delivered,1,1,4,fallback_support
delivery pending,1,1,0,delay
super fast one day delivery polite staff,2,2,4,fallback_support
return requested bad product,0,0,7,refund
wrong item delivered dust instead of product,0,0,4,fallback_support
sharan very kind hard working,2,2,4,fallback_support
packet torn need careful handling,1,1,2,damage_lost
courier person called first day then no follow up false status updated repeatedly,1,1,4,support
atm card not delivered needs branch help,0,0,4,fallback_support
shipment marked delivered but not received,1,1,2,damage_lost
company cheated wrong product sent fraud,0,0,4,fallback_support
excell,1,1,4,fallback_support
awesome,2,2,4,fallback_support
Hg,1,1,4,fallback_support
amit ok,1,1,4,fallback_support
delivery date earlier than expected,1,1,4,fallback_support
package not yet received,0,0,4,fallback_support
delivery speedy smooth,2,2,4,fallback_support
courier delivered to wrong address,0,0,1,wrong_delivery
courier delivered on time thank you,2,2,4,fallback_support
fabric quality very cheap,1,1,4,fallback_support
otp based delivery safe and secure,2,2,4,fallback_support
nil feedback,1,1,6,pricing
delivery boy refused area delivery,0,0,4,fallback_support
great timely delivery,2,2,4,fallback_support
very good product value,2,2,4,fallback_support
video kyc improvement suggestion,1,1,4,fallback_support
unable to track package location,1,1,5,tracking
delay without reason,1,0,0,delay
product not delivered as per convenience,0,0,4,fallback_support
timely,1,1,4,fallback_support
nothing to add,1,1,4,fallback_support
very happy with this courier service,2,2,4,fallback_support
package never delivered false attempts marked,0,0,4,fallback_support
last credit card delivery was very bad,0,0,4,fallback_support
delivery agent never called even after reschedule,1,1,4,support
payment failed due to network issue,0,0,4,fallback_support
wrong information about address marked without OTP or call,0,0,4,support
bad experience ever order not yet deliver but status delivered,0,0,4,fallback_support
relationship manager suggestion for improvement,1,1,4,fallback_support
very pathetic service,0,0,4,fallback_support
delivery person not good,0,0,4,fallback_support
completely satisfied with recent delivery,2,2,4,fallback_support
good h,1,2,4,fallback_support
package roaming with rider no update forced hub pickup,1,1,5,tracking
when get product blue dart parcel tore inside also one of product plastic tore,1,1,4,fallback_support
very satisfied with service,2,2,4,fallback_support
poor service credit card charged without update,0,0,6,pricing
return requested due to size issue,0,0,7,refund
fraud order wrong item sent,0,0,4,fallback_support
false delivery attempt remarks without calling customer,0,0,4,support
fast and secure,2,2,4,fallback_support
parcel expected delivery date missed,1,1,4,fallback_support
delivery handled well polite staff,2,2,4,fallback_support
not delivered to right person,0,0,4,fallback_support
not pure product quality,1,1,4,fallback_support
just keep up good work,2,2,4,fallback_support
can buy pack but get one pack,1,1,4,fallback_support
refund requested,1,0,7,refund
please cancel my order this wrong item,0,0,4,fallback_support
polite behaviour of delivery person,2,2,3,behaviour
please avoid delivery delay,1,0,0,delay
great service on time delivery,2,2,4,fallback_support
delivery pleasant but delayed,1,0,0,delay
not received,1,1,2,damage_lost
shipment falsely marked delivered,0,0,4,fallback_support
third class service,1,1,4,fallback_support
delivery rescheduled falsely,0,0,0,delay
im very happy,2,2,4,fallback_support
delivery call used bluedart address,1,1,4,support
delivery agent unable to reach location despite map and live location,1,1,4,fallback_support
parcel taken back by delivery agent,1,1,4,fallback_support
delivery boy dropped parcel without handover poor practice,0,0,4,fallback_support
want to return product received old item,0,0,7,refund
correct pincode but courier held for three days,0,0,4,fallback_support
loan installment details required,1,1,4,fallback_support
delivery agent behaved rudely while delivering medicine,0,0,3,behaviour
refund process query,1,0,7,refund
ordered pillow received only one,1,1,4,fallback_support
ordered item not sent different item received,1,1,4,fallback_support
delivery agent behaves so rude,0,0,3,behaviour
order falsely marked not available before return,0,0,7,refund
late delivery by one day,1,0,0,delay
service is reliable and good,2,2,4,fallback_support
awsome service from blue dart courier,2,2,4,fallback_support
please deliver faster,1,1,4,fallback_support
delivery boy lied about availability,0,0,4,fallback_support
very delayed delivery not happy,0,0,0,delay
delivered without actual delivery,1,1,4,fallback_support
received image but wrong size delivered,1,0,4,fallback_support
Good banking,2,2,4,fallback_support
very bad behaviour not acceptable,0,0,3,behaviour
item not received,1,1,2,damage_lost
parcel not receive message came delivered,1,1,4,fallback_support
service already good,2,2,4,fallback_support
good quality best service,2,2,4,fallback_support
delivery executive rude handling shipment,0,0,3,behaviour
wrong item delivered by courier boy,0,0,4,fallback_support
delivery delayed without location update,0,0,0,delay
allow delivery at fixed slot,1,1,4,fallback_support
fake product wrong watch received want return,0,0,7,refund
fully satisfied with delivery person,2,2,4,fallback_support
staff behaviour extremely poor at branch,1,1,3,behaviour
very good nice,2,2,4,fallback_support
dress completely different from image want return,0,0,7,refund
payment issue extra amount collected,1,0,6,pricing
delivery poor service,0,0,4,fallback_support
false delivery report despite availability,1,1,4,fallback_support
parcel damaged after multiple follow ups and retaped worst experience,0,0,2,damage_lost
service good,1,2,4,fallback_support
extra money taken beyond order value,0,0,4,fallback_support
order placed by mistake want return,1,1,7,refund
must,1,1,4,fallback_support
bank account opening smooth and hassle free,2,2,4,fallback_support
before arrive please give call,1,1,4,support
call before delivery,1,1,4,support
fraud parcel received instead of original item,0,0,4,fallback_support
delivery agent returned exact change,1,1,7,refund
pathetic service,0,0,4,fallback_support
had to collect from hub after two weeks,0,0,4,fallback_support
package received opened item not missing but seems used earlier,0,0,4,fallback_support
delivery boy behaved badly shouted and did not listen to address instructions,0,0,3,behaviour
name reference,1,1,4,fallback_support
it took extra day for delivery,1,1,4,fallback_support
not in time,1,1,4,fallback_support
mobile cover small size issue,1,0,4,fallback_support
order not delivered suspected fraud,0,0,4,fallback_support
lipstick delivered was empty and used product,0,0,4,fallback_support
order not delivered to me,0,0,4,fallback_support
reliable courier overall,1,1,4,fallback_support
forced to collect from outlet repeatedly,0,0,4,fallback_support
delivery partner did not deliver on time,0,0,4,fallback_support
poor quality name tag,0,0,4,fallback_support
courier not delivered home collected from office,0,0,4,fallback_support
forced hub pickup after fake remarks,0,0,4,fallback_support
size issue and poor quality product,0,0,4,fallback_support
best quality received,1,1,4,fallback_support
delivery without consent unacceptable,1,1,4,fallback_support
used product in package,1,1,4,fallback_support
dont schedule delivery on weekend,1,1,4,fallback_support
excellent service super fast delivery,2,2,4,fallback_support
satisfactory experience,2,2,4,fallback_support
delivery delayed at hub without intimation,0,0,0,delay
delivery executive patient and helpful,2,2,4,fallback_support
no thoughts,1,1,4,fallback_support
product damaged during transport,0,0,2,damage_lost
shipment delivered to different receiver,1,1,4,fallback_support
delivery partner refused to deliver at my address,0,0,4,fallback_support
no doorstep delivery forced self pickup,0,0,4,fallback_support
you serve best,2,2,4,fallback_support
delivery boy did not come to my home address,0,0,4,fallback_support
not delivered to me,0,0,4,fallback_support
it recommend provide order reach owner,1,1,4,fallback_support
delay delivery,1,0,0,delay
card not delivered had to collect from bluedart office staff behaviour bad,0,0,3,behaviour
be honest in first place,1,1,4,fallback_support
behavior very good,2,2,3,behaviour
sir this rong item how can return this not my order,0,0,1,wrong_delivery
very pleased with service,2,2,4,fallback_support
not delivered had to collect parcel personally,1,0,4,fallback_support
didnt receive order,1,1,4,fallback_support
delivery boy contact number should be visible,1,1,4,support
best delivery service ever,2,2,4,fallback_support
delivery delayed need proactive communication,1,0,0,delay
one of best service thank you so much,2,2,4,fallback_support
delay service,1,0,0,delay
too much late delivery,0,0,0,delay
parcel not deliver but message come a deliver,1,1,4,fallback_support
Credit card and online banking facilities should be offered . ,1,1,4,fallback_support
good service good delivery person,2,2,4,fallback_support
consignment not received yet,1,1,2,damage_lost
ordered sunglasses wrong brand delivered,0,0,4,fallback_support
false door closed remark,0,0,4,fallback_support
parcel stuck at hub had to collect myself,0,0,4,fallback_support
humble service,2,2,4,fallback_support
one day delay at patna airport,1,0,0,delay
delivery not completed on time one week delay false incorrect address reasons,0,0,0,delay
no comment,1,1,4,fallback_support
good service first delivery,2,2,4,fallback_support
good working,2,2,4,fallback_support
dont wan,1,1,4,fallback_support
delivery slow and late,1,0,0,delay
forced to pick order from office after delays,0,0,0,delay
product different from website images,1,1,4,fallback_support
just great service,2,2,4,fallback_support
delivery boy extremely poor performance,0,0,4,fallback_support
improve delivery service,1,1,4,fallback_support
damage box little bit open,1,0,2,damage_lost
courier not delivered no call track immediately,0,0,5,tracking
delivery guy very helpful,2,2,4,fallback_support
no call unsure where parcel delivered,0,0,3,behaviour
bank charges slabs not explained clearly before account opening,1,2,4,fallback_support
poor communication high price very late delivery,0,0,0,delay
wrong product delivered,1,0,4,fallback_support
fantastic service packaging very safe,2,2,4,fallback_support
best service experience,2,2,4,fallback_support
package leaked inside but staff fine,1,1,2,damage_lost
friendliness professionalism average,1,1,4,fallback_support
please reduce transit time,1,1,4,fallback_support
no need,1,1,4,fallback_support
wrong item delivered unfair want return,0,0,7,refund
perfect,1,2,4,fallback_support
your irresponsibility beyond explanation,0,0,4,fallback_support
service not available area still accepted order,0,0,4,fallback_support
order marked delivered but not received,0,0,2,damage_lost
improvement seen delivery system better now,1,1,4,fallback_support
Yy,1,1,4,fallback_support
packet not received,0,0,2,damage_lost
my parshl id not dilevery,1,1,4,fallback_support
delivery person proactive and reached customer,2,2,4,fallback_support
address corrected and delivered successfully thanks,2,2,4,fallback_support
just need add number of delivery partner,1,1,4,fallback_support
good service fast delivery,2,2,4,fallback_support
prashant good always polite on time,2,2,4,fallback_support
always prompt polite delivery important,2,2,4,fallback_support
stupid service,0,0,4,fallback_support
delivery inconvenience faced,0,0,4,fallback_support
debit card not delivered but marked delivered,0,0,4,fallback_support
best fast service,2,2,4,fallback_support
no suggestion,1,1,4,fallback_support
didnt receive item,0,0,4,fallback_support
delivery man rude behaviour,0,0,3,behaviour
false delivery attempt marked,0,0,4,fallback_support
good service decent timely delivery,2,2,4,fallback_support
delivery partner refused doorstep delivery,0,0,4,fallback_support
delivery boy very rude mannerless,0,0,3,behaviour
thanks,1,2,4,fallback_support
delivery person called earlier,1,1,4,support
no verification risky delivery,1,1,4,fallback_support
delivery agent refunded without delivery,1,0,7,refund
prompt polite speedy delivery,1,1,4,fallback_support
multiple complaints raised earlier,1,1,4,support
best service in india,2,2,4,fallback_support
OTP taken on call but parcel not delivered,0,0,4,support
delivery partner rude refused floor delivery insisted to come down,0,0,3,behaviour
missing item in parcel protein bar not received,0,0,2,damage_lost
staff delivered safely thanks,2,2,4,fallback_support
marked delivered but no delivery happened,0,0,4,fallback_support
no follow up,1,1,4,support
receiver received,1,1,4,fallback_support
awesome,1,2,4,fallback_support
package delivered with proper instructions intact,1,1,4,fallback_support
delivery message received but parcel not delivered,1,0,4,fallback_support
deliver product on time,1,1,4,fallback_support
item not delivered but message says delivered,0,0,4,fallback_support
very cooperative staff,1,1,4,fallback_support
delivery team very polite and fast,2,2,4,fallback_support
professional behaviour appreciated,1,1,3,behaviour
hiii,1,1,4,fallback_support
slow but safe delivery,1,1,4,fallback_support
parcel not received no call from delivery team,0,0,2,damage_lost
delivery man irresponsible no local office number,0,0,4,fallback_support
very helpful delivery executive,2,2,4,fallback_support
not delivered product,0,0,4,fallback_support
product missing from box,0,0,2,damage_lost
delivery boy rude bossy behaviour,0,0,3,behaviour
did not receive card,0,0,2,damage_lost
delivery boy refused village delivery,1,1,4,fallback_support
best,1,1,4,fallback_support
Everything is good please keep privacy and security related issues always,2,0,0,delay
want bigger size,1,1,4,fallback_support
delivery boy polite and communicates well,2,2,4,fallback_support
parcel reference,1,1,4,fallback_support
this time service bad,0,0,4,fallback_support
very nice delivery person,2,2,4,fallback_support
passport delivery charged extra incorrectly,1,1,6,pricing
charged extra amount,1,1,6,pricing
delivery delayed four days,0,0,0,delay
not yet received worried about delay,1,0,0,delay
delivery agent forced customer to collect parcel elsewhere,1,1,4,fallback_support
worst experience delayed forced pickup,0,0,0,delay
status marked delivered but not received,0,0,2,damage_lost
day late delivery,1,0,0,delay
good organisation and timely delivery,2,2,4,fallback_support
please call if address issue or delivery delay,1,0,0,delay
delivery boy threatened customer,0,0,3,behaviour
smooth delivery experience,2,2,4,fallback_support
great experience staff support appreciated,2,2,4,support
delivery staff behaved rudely threatened customer and refused delivery,0,0,3,behaviour
technical issue caused one day extra delivery,1,0,4,fallback_support
delivery schedule unclear,1,2,4,fallback_support
wrong contact number remove it,1,0,4,support
delivery staff refused doorstep delivery and misbehaved,0,0,3,behaviour
product damaged,1,0,2,damage_lost
quality unclear,1,2,4,fallback_support
brand mismatch concern,1,1,4,fallback_support
overall service good,1,2,4,fallback_support
professional delivery,1,1,4,fallback_support
asked to collect from different location,1,1,4,fallback_support
good delivery experience,2,2,4,fallback_support
defective product received,0,0,4,fallback_support
polite efficient delivery person,2,2,4,fallback_support
great service,2,2,4,fallback_support
easy accessible office,1,1,4,fallback_support
Gay,1,1,4,fallback_support
address change option needed,1,1,4,fallback_support
interest rate high for first time buyer,1,1,4,fallback_support
forced to travel far to collect parcel,0,0,4,fallback_support
I didn't feel that you should improve anything. IDFC first Bank  banking services are excellent ,1,2,6,pricing
very good service,2,2,4,fallback_support
convenient delivery experience,2,2,4,fallback_support
fake delivery attempt marked daily,0,0,4,fallback_support
delivery timely and perfect condition,2,2,4,fallback_support
incorrect address on google issue,1,0,4,fallback_support
urgent service required,1,1,4,fallback_support
we did not receive our courier,0,0,2,damage_lost
very good behavior fast delivery,2,2,3,behaviour
do not deliver parcel,0,0,4,fallback_support
not delivered yet,0,0,0,delay
refund required,1,0,7,refund
not received at all,1,1,2,damage_lost
courier boy behaviour not good,0,0,3,behaviour
call before parcel delivery,1,1,4,support
good delivery partner,2,2,4,fallback_support
account issue wrong account opened request closure,0,0,4,fallback_support
very good experience respectful delivery staff,2,2,4,fallback_support
rude delivery person left parcel outside,0,0,3,behaviour
customer first,1,1,4,fallback_support
forced to collect from bluedart office,0,0,4,fallback_support
odd experience,1,1,4,fallback_support
marked delivered without call,0,0,4,support
delivery agent marks not available without calling,0,0,4,support
everything great,2,2,4,fallback_support
delivery guy stopped before address,1,1,4,fallback_support
thank you for super fast delivery,2,2,4,fallback_support
delivery boy friendly,1,1,4,fallback_support
please share expected delivery date via message,1,1,4,fallback_support
consignment not received,1,1,2,damage_lost
grateful for excellent service,2,2,4,fallback_support
very good overall,2,2,4,fallback_support
wrong item delivered refund required,0,0,7,refund
want return product,1,1,7,refund
tracking details should be shared before delivery,1,1,5,tracking
not good appearance,0,0,4,fallback_support
no proper delivery had to carry parcel myself,1,1,4,fallback_support
fast,1,1,4,fallback_support
payment update related,1,0,0,delay
seamless process opened NRO NRE account easily fast track service excellent experience,2,2,5,tracking
fake order received need cyber complaint,1,1,4,support
package very dirty have lot of dust deposit on it,0,0,4,fallback_support
fastest courier in our region,1,1,4,fallback_support
route map needed,1,1,4,fallback_support
delivery person asked to come out,1,1,4,fallback_support
shipment delays observed,1,0,0,delay
package leak from inside,1,1,2,damage_lost
excellent but little late,1,0,0,delay
delivery person delivered wrong item instead of ordered product,0,0,4,fallback_support
delivery extremely late,0,0,0,delay
delivery partner rude shouted and threatened to throw parcel,0,0,3,behaviour
delivery person rude refused to read address,0,0,3,behaviour
professional service,1,1,4,fallback_support
Already very nice process,2,2,4,fallback_support
fake item delivered fraud case,0,0,4,fallback_support
delivery partner extremely rude worst experience,0,0,3,behaviour
deliver person helped despite address misprint,2,2,4,fallback_support
appreciate pramod for excellent polite service,2,2,4,fallback_support
reluctant doorstep delivery repeated issue,0,0,4,fallback_support
company cheated wrong product delivered,0,0,4,fallback_support
waste service,0,0,4,fallback_support
delivery partner raised false info,0,0,4,fallback_support
delivery delayed by one day from tracking system,1,0,0,delay
superb experience,2,2,4,fallback_support
share delivery executive number,1,1,4,fallback_support
did not order this product cash taken need refund,0,0,7,refund
courier person needs training,1,1,4,fallback_support
fast secure delivery,1,1,4,fallback_support
delivery boy very helpful and friendly,2,2,4,fallback_support
pricing mismatch between charged amount and offer price,0,0,6,pricing
fraud you,0,0,4,fallback_support
delivery person nice and helpful,2,2,4,fallback_support
unclear feedback,1,2,6,pricing
fraud empty box delivered serious issue,1,0,2,damage_lost
good service thank you,2,2,4,fallback_support
pathetic experience forced office pickup,0,0,4,fallback_support
strong dissatisfaction delivery delayed,0,0,0,delay
false daily status updates claiming address incomplete,0,0,4,fallback_support
well spoken and very professional delivery person,2,2,4,fallback_support
thank you for delivery service liked it,2,2,4,fallback_support
very fast delivery happy,2,2,4,fallback_support
delivery agent confirmed availability but delayed delivery,1,0,0,delay
didnt receive my order,0,0,4,fallback_support
shiva delivers promptly with care,2,2,4,fallback_support
why consignment late despite early arrival,1,0,0,delay
delivery message shown but item not received,1,1,2,damage_lost
do not delay service,1,0,0,delay
happy with service,2,2,4,fallback_support
delivery executive very good and polite respectful great service,2,2,4,fallback_support
wrong item received,1,0,4,fallback_support
fast delivery on time,2,2,4,fallback_support
delivery person professional and helpful,2,2,4,fallback_support
want return order,1,1,7,refund
no comments,1,1,4,fallback_support
could day faster,2,2,4,fallback_support
welcome kit not delivered even after week,0,0,4,fallback_support
product nice,2,2,4,fallback_support
genuine courier company reaches on time and delivers safely thank you bluedart,2,2,4,fallback_support
superb,1,1,4,fallback_support
loan issue mentioned,1,0,4,fallback_support
very good service respect keep it up,2,2,4,fallback_support
trustworthy courier partner,2,2,4,fallback_support
service extremely poor unacceptable,1,1,4,fallback_support
delivery done without phone call,1,1,4,support
self collected parcel,1,1,4,fallback_support
customer should be informed before delivery,1,1,4,fallback_support
delivery refused asked self pickup,0,0,4,fallback_support
want return,1,1,7,refund
delivery boy argued at doorstep,0,0,3,behaviour
delivery shows delivered but package not received,0,0,2,damage_lost
didnt receive complimentary gift,0,0,4,fallback_support
perfect delivery experience,2,2,4,fallback_support
delivery person did not return balance amount,0,0,7,refund
technical issue in app resolved by customer care overall smooth account opening experience,2,0,4,support
good time management,1,2,4,fallback_support
avoid mis-selling,1,1,4,fallback_support
delivery boy very rude,0,0,3,behaviour
it not my product,1,1,4,fallback_support
one day delay at airport,1,0,0,delay
delivery staff reached on time good job,2,2,4,fallback_support
delivery person polite prompt,2,2,4,fallback_support
professional delivery service,1,1,4,fallback_support
product quality unsatisfactory,0,0,4,fallback_support
pincode error delayed delivery,0,0,0,delay
good delivery boy,2,2,4,fallback_support
duplicate earbuds delivered instead of original,1,1,4,fallback_support
not delivered to home,1,0,4,fallback_support
random text,1,1,4,fallback_support
professional delivery handling,1,1,4,fallback_support
very bad service order delivered one day late,0,0,0,delay
contact you but you dont updated address of your delivery hub in my hometown upon ask for number of any executive present here tell thats it personal can not share provide my number yet delivery executive dial just one number which didnt even connect he straight away reschedule delivery attempt next which holiday get know after reach hubthese many flaw do frustrate me quite well,0,0,4,support
package arrived open but product intact and fine,2,2,4,fallback_support
"Good relationship manager 
",2,2,4,fallback_support
bad very bad,0,0,4,fallback_support
provide valid information to customers,1,1,4,fallback_support
very poor delivery experience,0,0,4,fallback_support
foreign text,1,1,4,fallback_support
didnt receive any courier,0,0,4,fallback_support
service very good receive my order more early then expect,2,2,4,fallback_support
bad service repeated calls,0,0,4,support
provide delivery boy contact number,1,1,4,support
sender fraud no accountability,0,0,4,fallback_support
delivery agent contacted only once then rescheduled repeatedly,0,0,4,support
delivery agent did not allow checking parcel,0,0,4,fallback_support
it quick efficient,1,1,4,fallback_support
not receive delivery,1,1,4,fallback_support
ok send,1,1,4,fallback_support
not deliver,1,1,4,fallback_support
good man good behavior,2,2,3,behaviour
otp taken parcel not delivered fraud,0,0,4,fallback_support
delivery partner rude not understanding,0,0,3,behaviour
thank you for doorstep delivery,2,2,4,fallback_support
product not received at all,0,0,2,damage_lost
late delivery days,1,0,0,delay
weight missing in parcel received less quantity,1,0,4,fallback_support
delivery person info needed,1,1,4,fallback_support
dedicated delivery person cares for customer,1,1,4,fallback_support
delivery falsely marked refused twice,0,0,4,fallback_support
delivery boy came to door,1,1,4,fallback_support
service very time consuming,0,0,4,fallback_support
didnt deliver the parcel,0,0,4,fallback_support
wuality u rough fictionous for this price quality of satin average,1,1,4,fallback_support
nice fast service,2,2,4,fallback_support
confusing message,1,1,4,fallback_support
empty packet received,1,1,4,fallback_support
please try deliver on time,1,1,4,fallback_support
my order misplace not what order,0,0,4,fallback_support
everything is seamless thank you,2,2,4,fallback_support
parcel not received but marked delivered no call from courier,1,1,2,damage_lost
delivery marked delivered without receipt,0,0,4,fallback_support
shipment status wrongly showed incorrect address,0,0,5,tracking
delivery boy kind humble,2,2,4,fallback_support
keep up good work,2,2,4,fallback_support
item not receive,1,1,4,fallback_support
documents delivered to unknown person without verification security issue,1,0,4,fallback_support
parcel delivered to wrong person without verification,0,0,1,wrong_delivery
had to collect from hub,0,0,4,fallback_support
not doorstep delivery very poor service,0,0,4,fallback_support
good service by staff,2,2,4,fallback_support
delivery very late,0,0,0,delay
excellent efficient prompt service,2,2,4,fallback_support
shipment very slow,1,1,4,fallback_support
a at work my sister pick up my parcel she couldnt reach me on call so he have wait for just mins delivery partner rude my sister a say cancel order dont expect this from bluedart delivery atleast,0,0,3,behaviour
delivery delayed with no information provided,0,0,0,delay
nothing add all good,1,2,4,fallback_support
no change required,1,1,4,fallback_support
courier fraud never received,0,0,2,damage_lost
delivery of card very delayed,0,0,0,delay
shipment should have been delivered yesterday,1,1,4,fallback_support
blue dart brand trust,1,1,4,fallback_support
very late delivery,1,0,0,delay
fake delivery attempts no contact,0,0,4,support
delivery agent rude behaviour,0,0,3,behaviour
product not working want return,0,0,7,refund
product delivered on time,2,2,4,fallback_support
tracking report incorrect falsely marked door closed,0,0,5,tracking
delivery status wrong falsely marked delivered,0,0,5,tracking
delivery route unnecessary delay,1,0,0,delay
parcel not receive,1,1,4,fallback_support
order marked delivered but item not received,0,0,2,damage_lost
delivery failed only SMS sent no delivery attempt,0,0,0,delay
delivery person handed parcel to unknown person without informing me,0,0,4,fallback_support
no issues,1,0,4,fallback_support
delivery done far away from my address,0,0,4,fallback_support
false delivered remark,1,1,4,fallback_support
package broken very bad,0,0,2,damage_lost
received ok,1,1,4,fallback_support
scheduled delivery refused home delivery,0,0,4,fallback_support
parcel reached hub delay after that,1,0,0,delay
nce,1,1,4,fallback_support
fast delivery,2,2,4,fallback_support
best delevery person good behaviour,2,2,3,behaviour
do not want,1,1,4,fallback_support
delivery person polite and helpful,2,2,4,fallback_support
fraud parcel delivered unacceptable,0,0,4,fallback_support
delivery boy used arrogant language,0,0,4,fallback_support
well service on time delivery,1,1,4,fallback_support
good doorstep delivery,2,2,4,fallback_support
bad delivery agent behaviour no response,0,0,3,behaviour
delivery extremely delayed,0,0,0,delay
parcel not delivered no call received,0,0,3,behaviour
very bad customer support delayed delivery wrong tracking information,0,0,0,delay
item damaged in transit,1,0,2,damage_lost
package completely brokenminimum damage couse product but not as much a return itproduct a we order but shipment worst,0,0,2,damage_lost
false consignee unavailable update without attempt,0,0,4,fallback_support
outer box damaged inner safe,1,0,2,damage_lost
not receive,1,1,4,fallback_support
executive humble polite and respectful,2,2,4,fallback_support
received by brother not primary consignee,1,1,4,fallback_support
good delivering system,2,2,4,fallback_support
did not receive courier,0,0,2,damage_lost
product damage,1,0,2,damage_lost
address management issue in mobile banking app,1,0,4,fallback_support
wrong parcel given,0,0,4,fallback_support
responsible delivery service thank you,2,2,4,fallback_support
bad service of bluedart come take order from store,0,0,4,fallback_support
delivery code related query,1,0,0,delay
not delivered properly,0,0,4,fallback_support
delivery team unprofessional first mention a customer cancel with other not receive when complain high authority about consignment not receive then receive my package on same day unprofessional delivery team,0,0,5,tracking
very bad packing,0,0,4,fallback_support
all good service,2,2,4,fallback_support
return order by mistake,1,1,7,refund
very nice delivery,2,2,4,fallback_support
delivery delayed more than one day,0,0,0,delay
delivery not done at correct time,0,0,4,fallback_support
package damaged poor handling,0,0,2,damage_lost
physician regular customer neutral feedback,1,1,6,pricing
bahut bekar delivery delay,1,0,0,delay
excellent,1,2,4,fallback_support
excellent service,2,2,4,fallback_support
delivery left credit card at doorstep,1,1,4,fallback_support
kotak bank service not available in small city,0,0,4,fallback_support
fake delivery item not received,0,0,2,damage_lost
super service,1,1,4,fallback_support
mujhse nhi chaiye ye,1,1,4,fallback_support
sunil extremely efficient,2,2,4,fallback_support
delivery delayed beyond expected date,0,0,0,delay
delivery person handled parcel carefully,2,2,4,fallback_support
not good delivery experience,0,0,4,fallback_support
delivery partner good behaviour,1,2,3,behaviour
not delivered no call wrong status shown,0,0,3,behaviour
delivery agent rude elevator issue unacceptable,0,0,3,behaviour
very late delivery worst,0,0,0,delay
receive incorrect product,1,1,4,fallback_support
nice product fast delivery service,2,2,4,fallback_support
delivery too swift and smooth,1,2,4,fallback_support
does not wait even one minute rude delivery,0,0,3,behaviour
im not happy cheap quality different item,0,0,4,fallback_support
important shipment delivered late with no communication unacceptable service,0,0,0,delay
very good delivery,2,2,4,fallback_support
great delivery experience,2,2,4,fallback_support
excellent timely service,2,2,4,fallback_support
thank you for prompt safe delivery of my order your hard work very much appreciate,2,2,4,fallback_support
want to return,1,1,7,refund
very good delivery service,2,2,4,fallback_support
account frozen need help,0,0,4,fallback_support
delivered later than expected but okay,1,0,0,delay
please hire delivery boy who knows the area,0,0,4,fallback_support
very nice app fast service,2,2,4,fallback_support
parcel thrown near wrong building unacceptable,0,0,1,wrong_delivery
delivery without OTP or recipient verification,0,0,4,fallback_support
parcel delivered to wrong person,0,0,1,wrong_delivery
delivery to wrong person serious concern,0,0,4,fallback_support
request fast delivery and contact number,1,1,4,support
